"g_id","uid","вид.туризма","регион","название.объекта","источник.данных","POINT_X","POINT_Y","классификация.по.упоминаемости.в.соц.сетях","классификация.по.кол.ву.комментариев.в.соц.сетях","классификация.по.кол.ву.фотографий.рядом.с.точками.притяжения","классификация.по.исходным.данным","общая.классификация","индекс","финальный.уровень.обьекта","финальная.значимость","регион.входа","точка.входа","расстояние.до.ближайшей.точки.входа","попадание.в.зону.2х.часовой.доступности.авто","попадание.в.зону.2х.часовой.доступности.жд","обеспеченность.ТП.мобильной.связью","обеспеченность.ТП.мобильным.интернетом"
"60188","59251","Культурный","Омская область","Дом, где в 1917-18 гг. размещался волостной Совет крестьянских депутатов","Основная","72.627057","55.399586","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","65678","1","0","1","1"
"60330","59393","Культурный","Омская область","Могила Героя Социалистического Труда Никифорова Константина Дмитриевича","Основная","72.792077","55.195313","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","43346","1","0","1","1"
"65560","64623","Культурный","Омская область","Бюст В.И. Ленина","Основная","73.492054","54.985204","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","7941","1","0","1","1"
"71113","70176","Культурный","Омская область","Деревянная церковь","Основная","74.167946","57.559264","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","","0","0","0","0"
"72195","71258","Культурный","Омская область","Покровская церковь","Основная","75.557002","56.341129","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","","0","0","1","1"
"79296","78359","Культурный","Омская область","Могила председателя колхоза Рубина Леонида Тимофеевича, погибшего в 1932 году от рук кулаков","Основная","72.315225","55.45454","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","84691","0","0","1","0"
"79344","78407","Культурный","Омская область","Обелиск землякам, погибшим в годы Великой Отечественной войны 1941-1945 гг.","Основная","73.18041","54.07243","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","102787","0","0","1","1"
"79424","78487","Культурный","Омская область","Могила председателя Еланского с/Совета А.П. Шутова, убитого кулаками","Основная","72.629096","56.94845","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","","0","0","1","1"
"79445","78508","Культурный","Омская область","Юйськовский форпост - первое поселение района, основанное в 1741 году","Основная","73.471985","56.383453","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","155352","0","0","1","1"
"79448","78511","Культурный","Омская область","Обелиск землякам, погибшим в годы Великой Отечественной войны 1941-1945 гг.","Основная","73.644929","56.140735","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","129372","0","0","1","1"
"79455","78518","Культурный","Омская область","Памятник С.М. Кирову","Основная","73.327608","54.927682","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","7340","1","0","1","1"
"79476","78539","Культурный","Омская область","Юрта, в которой жили первые целинники совхоза «Целинный»","Основная","74.316393","53.949958","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","131013","0","0","1","0"
"79478","78541","Культурный","Омская область","Ачаирский форпост - одно из первых поселений, основанный в 1720 г.","Основная","73.877566","54.658292","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","49294","1","0","1","1"
"79482","78545","Культурный","Омская область","Мемориал в память рабочих и служащих завода, погибших в годы Великой Отечественной войны 1941-1945 годах","Основная","73.368212","54.989342","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","0","1","0","1","1"
